IDEN SEXE AGE PROF ETUD AXIOR USGL
M001 1 62  1 2 2 3
M002 0 60  9 3 4 1
M003 1 31  9 4 4 1
M004 1 27  8 4 1 1
M005 0 22  8 4 1 2
M006 1 70  4 1 1 1
M007 1 19  8 4 4 2
M008 1 53  6 2 2 3
M009 0 62 16 4 2 2
M010 1 63 16 0 1 0
M011 0 65 16 0 1 0
M012 1 11 12 2 4 2
M013 0 78 16 3 4 1
M014 0 20  8 4 4 2
M015 1 48  1 2 3 1
M016 1 50  1 1 4 2
M017 0 49  7 4 4 1
M018 1 44  1 1 2 1
M019 1 21  8 4 2 2
M020 1 23 13 3 1 2
M021 0 28  6 4 3 1
M022 0 47  6 2 1 1
M023 0 64  2 2 1 2
M024 0 26  8 4 4 1
M025 1 14 12 2 1 2
M026 0 43  1 1 1 2
M027 1 61 16 1 1 0
M028 1 15 12 3 1 2
M029 1 29  0 2 1 1
M030 1 24  1 2 1 2
M031 1 41  9 4 1 1
M032 1 37  9 4 2 1
M033 1 73 16 1 1 1
M034 1 12 12 2 4 1
M035 1 40 13 2 4 0
M036 0 42  7 3 3 0
M037 1 15 12 2 2 0
M038 0 16 12 3 4 0
M039 1 46  1 2 4 1
M040 1 61  9 2 2 1
M041 1 19  8 4 1 0
M042 0 20  8 3 1 0
M043 1 73 16 4 4 0
M044 1 39 13 4 4 0
M045 1 59  1 2 4 0
M046 0 22  1 0 4 0
M047 0 52  1 2 3 0
M048 1 76 16 3 1 0
M049 1 17 12 3 4 0
